001	comandante.bienvenida	Señores pasajeros, buenas, les habla la comandante Jazlyn. Bienvenidos a bordo.
002	comandante.crosscheck	Tripulación, armar toboganes y verificación cruzada.
003	comandante.despegue	Tripulación, sentados para el despegue.
004	comandante.crucero	Ya estamos arriba. Pueden soltarse el cinturón, pero si están sentados, déjenselo puestito.
005	comandante.descenso	Empezamos a bajar. Tripulación, preparar cabina para el aterrizaje.
006	comandante.bienvenida.local	Señores pasajeros, buenas, les habla la comandante Jazlyn. Bienvenidos a bordo. Hoy damos una vuelta por los alrededores y volvemos acá mismo.
007	comandante.bienvenida.pettirossi	Señores pasajeros, buenas, les habla la comandante Jazlyn. Bienvenidos a bordo de este vuelo a Asunción.
008	comandante.bienvenida.guarani	Señores pasajeros, buenas, les habla la comandante Jazlyn. Bienvenidos a bordo de este vuelo a Ciudad del Este.
009	comandante.bienvenida.encarnacion	Señores pasajeros, buenas, les habla la comandante Jazlyn. Bienvenidos a bordo de este vuelo a Encarnación.
010	comandante.bienvenida.yvytu-rape	Señores pasajeros, buenas, les habla la comandante Jazlyn. Bienvenidos a bordo de este vuelo a Yvytu Rape, la pista de la Granja Óga.
011	comandante.bienvenida.tenerife-norte	Señores pasajeros, buenas, les habla la comandante Jazlyn. Bienvenidos a bordo de este vuelo a Tenerife Norte.
012	comandante.bienvenida.tenerife-sur	Señores pasajeros, buenas, les habla la comandante Jazlyn. Bienvenidos a bordo de este vuelo a Tenerife Sur.
013	comandante.bienvenida.gran-canaria	Señores pasajeros, buenas, les habla la comandante Jazlyn. Bienvenidos a bordo de este vuelo a Gran Canaria.
014	comandante.bienvenida.lanzarote	Señores pasajeros, buenas, les habla la comandante Jazlyn. Bienvenidos a bordo de este vuelo a Lanzarote.
015	comandante.bienvenida.fuerteventura	Señores pasajeros, buenas, les habla la comandante Jazlyn. Bienvenidos a bordo de este vuelo a Fuerteventura.
016	comandante.bienvenida.la-palma	Señores pasajeros, buenas, les habla la comandante Jazlyn. Bienvenidos a bordo de este vuelo a La Palma.
017	comandante.bienvenida.el-hierro	Señores pasajeros, buenas, les habla la comandante Jazlyn. Bienvenidos a bordo de este vuelo a El Hierro.
018	comandante.bienvenida.la-gomera	Señores pasajeros, buenas, les habla la comandante Jazlyn. Bienvenidos a bordo de este vuelo a La Gomera.
