001	fonetico.alfa	Alfa
002	fonetico.bravo	Bravo
003	fonetico.charlie	Charlie
004	fonetico.delta	Delta
005	fonetico.echo	Echo
006	fonetico.foxtrot	Foxtrot
007	fonetico.golf	Golf
008	fonetico.hotel	Hotel
009	fonetico.india	India
010	fonetico.juliett	Juliett
011	fonetico.kilo	Kilo
012	fonetico.lima	Lima
013	fonetico.mike	Mike
014	fonetico.november	November
015	fonetico.oscar	Oscar
016	fonetico.papa	Papa
017	fonetico.quebec	Quebec
018	fonetico.romeo	Romeo
019	fonetico.sierra	Sierra
020	fonetico.tango	Tango
021	fonetico.uniform	Uniform
022	fonetico.victor	Victor
023	fonetico.whiskey	Whiskey
024	fonetico.xray	X-ray
025	fonetico.yankee	Yankee
026	fonetico.zulu	Zulu
027	cifra.0	zero
028	cifra.1	one
029	cifra.2	two
030	cifra.3	three
031	cifra.4	four
032	cifra.5	five
033	cifra.6	six
034	cifra.7	seven
035	cifra.8	eight
036	cifra.9	niner
037	torre.solo.runway	runway
038	lado.left	left
039	lado.right	right
040	lado.center	center
041	torre.solo.clearedTakeoff	cleared for take-off
042	torre.solo.clearedLand	cleared to land
043	torre.solo.goAround	go around, runway occupied
044	torre.solo.holdShort	hold short of the runway
045	torre.solo.lineUpWait	line up and wait
